date,co2
1986-01-01,346.2424
1986-02-01,346.9107
1986-03-01,347.7829
1986-04-01,349.5033
1986-05-01,350.088
1986-06-01,349.459
1986-07-01,347.7811
1986-08-01,345.8124
1986-09-01,344.8105
1986-10-01,344.2134
1986-11-01,345.6224
1986-12-01,346.8737
1987-01-01,348.0046
1987-02-01,348.35
1987-03-01,349.4843
1987-04-01,350.87
1987-05-01,351.7636
1987-06-01,351.1529
1987-07-01,349.4396
1987-08-01,348.0396
1987-09-01,346.381
1987-10-01,346.4207
1987-11-01,347.7952
1987-12-01,348.9714
1988-01-01,350.394
1988-02-01,351.7118
1988-03-01,352.2
1988-04-01,353.5457
1988-05-01,354.1747
1988-06-01,353.7024
1988-07-01,352.2415
1988-08-01,350.3161
1988-09-01,348.741
1988-10-01,348.9747
1988-11-01,349.9843
1988-12-01,351.2857
1989-01-01,352.7332
1989-02-01,352.9969
1989-03-01,353.6954
1989-04-01,355.4071
1989-05-01,355.63
1989-06-01,355.0386
1989-07-01,353.8111
1989-08-01,351.5806
1989-09-01,349.8186
1989-10-01,350.0217
1989-11-01,351.2505
1989-12-01,352.4488
1990-01-01,353.6512
1990-02-01,354.7194
1990-03-01,355.4184
1990-04-01,356.1671
1990-05-01,357.0217
1990-06-01,356.0571
1990-07-01,354.741
1990-08-01,352.7396
1990-09-01,350.9476
1990-10-01,351.241
1990-11-01,352.8
1990-12-01,354.1627
1991-01-01,354.7221
1991-02-01,355.7378
1991-03-01,357.2055
1991-04-01,358.5486
1991-05-01,359.1802
1991-06-01,358.1776
1991-07-01,356.1115
1991-08-01,353.9005
1991-09-01,352.2514
1991-10-01,352.3051
1991-11-01,353.7033
1991-12-01,354.9576
1992-01-01,355.9069
1992-02-01,356.769
1992-03-01,357.7673
1992-04-01,359.109
1992-05-01,359.4908
1992-06-01,359.1976
1992-07-01,356.7968
1992-08-01,354.8631
1992-09-01,353.111
1992-10-01,353.394
1992-11-01,354.1195
1992-12-01,355.3793
1993-01-01,356.6871
1993-02-01,357.1378
1993-03-01,358.3945
1993-04-01,359.3557
1993-05-01,360.224
1993-06-01,359.4648
1993-07-01,357.5101
1993-08-01,355.4277
1993-09-01,353.7881
1993-10-01,354.0631
1993-11-01,355.2838
1993-12-01,356.8977
1994-01-01,358.3249
1994-02-01,358.8587
1994-03-01,359.9696
1994-04-01,361.1643
1994-05-01,361.6783
1994-06-01,360.8767
1994-07-01,359.4539
1994-08-01,357.4401
1994-09-01,355.8552
1994-10-01,356.0654
1994-11-01,357.57
1994-12-01,359.0346
1995-01-01,359.9456
1995-02-01,360.9342
1995-03-01,361.7654
1995-04-01,363.3052
1995-05-01,363.7018
1995-06-01,363.1462
1995-07-01,361.7544
1995-08-01,359.2885
1995-09-01,358.1057
1995-10-01,357.841
1995-11-01,359.4924
1995-12-01,360.6733
1996-01-01,362.0276
1996-02-01,363.231
1996-03-01,364.0631
1996-04-01,364.6667
1996-05-01,365.2797
1996-06-01,364.9257
1996-07-01,363.4567
1996-08-01,361.3733
1996-09-01,359.559
1996-10-01,359.6175
1996-11-01,360.7295
1996-12-01,362.2889
1997-01-01,363.124
1997-02-01,364.0143
1997-03-01,364.5442
1997-04-01,366.301
1997-05-01,366.7161
1997-06-01,365.5686
1997-07-01,364.3281
1997-08-01,362.459
1997-09-01,360.2714
1997-10-01,360.8226
1997-11-01,362.3752
1997-12-01,364.2332
1998-01-01,365.3166
1998-02-01,366.0179
1998-03-01,367.3705
1998-04-01,368.5614
1998-05-01,369.1041
1998-06-01,368.8062
1998-07-01,367.5309
1998-08-01,365.6714
1998-09-01,363.9352
1998-10-01,364.288
1998-11-01,365.4557
1998-12-01,366.9276
1999-01-01,368.0889
1999-02-01,368.8985
1999-03-01,369.5862
1999-04-01,370.9462
1999-05-01,370.8696
1999-06-01,370.2076
1999-07-01,369.1488
1999-08-01,366.7124
1999-09-01,364.7195
1999-10-01,365.1484
1999-11-01,366.5929
1999-12-01,367.9594
2000-01-01,369.0535
2000-02-01,369.3852
2000-03-01,370.4346
2000-04-01,371.6195
2000-05-01,371.6373
2000-06-01,371.5319
2000-07-01,369.8829
2000-08-01,367.9401
2000-09-01,366.5095
2000-10-01,366.7018
2000-11-01,368.1781
2000-12-01,369.4419
2001-01-01,370.194
2001-02-01,371.3648
2001-03-01,372.0475
2001-04-01,372.7143
2001-05-01,373.7502
2001-06-01,373.0471
2001-07-01,371.4161
2001-08-01,369.3452
2001-09-01,367.8619
2001-10-01,368.0272
2001-11-01,369.49
2001-12-01,371.0448
